rating,text
5,시슨드시 제품의 시작은 클린징폼이었고 선크림은 내돈내산이며 재구매입니다 저는 선크림을 사용해서 좋았던 적이 없었어요 피부가 붉어지기도하고 뭐가 생기기도해서 선크림 선택에 고민이 많을때 이제품을 만났죠 시슨드시 선크림을 바르고는 전혀 문제가 없어서 재구매했습니다 이제품을 받고 처음 바를때 이게 선크림이야 로션이야 했죠 1) 밀림없고 눈시림없고 끈적임 없는 산뜻하고 촉촉한 선크림 2)바다를 살리는 선크림 산호초와 해양생물을 파괴하는 옥시벤존과 옥티노세이트를 사용하지 않음 3)20여가지의 산야초를 3년동안 숙성해서 최적의 효능을 끌어냄 4)피부의 답답함없이 로션같은 선크림으로 피부에 고밀도 밀착 5) 유기자차와 무기자차의 장점만 선택 6)발림성 좋으면서 자외선 차단효과 높음 SPF50+/ PA++++ 향은 풀향 (?) 은은한데 저는 별로 거부감 없습니다 바를때 잠깐 향이나고 지나면 거의 냄새 없어요 하얗게 붕붕뜨는것 없이 눈시림도 없이 선크림 바른걸 잊어버릴만큼 로션이나 크림같이 느껴지면서 바다생물이나 산호초들에게 나쁜성분이 없다니 사람에게는 더더욱 나쁜성분이 없어서 좋을꺼라 생각되어 지네요 선크림 유목민이 찾은 시슨드시의 선크림 요즘은 남편도 같이 사용합니다
5,일단 패키징이 진짜 정성이 느껴지고 종이상자 겉에 뾱뾱이가 한번더 말아져 있어서 안전하게 다치거나 손상없이 배달 됐다는게 참 감격입니다. 쿠팡은 본래 다 구겨져 오고 흘려오고 하는데ㅎ 여튼 그리고 뚜껑여니 한번더 씰링이 돼있어서 누가 환불하거나 사용하던게 아니라는게 확실해서 좋아요. 그리고 직관적이고 확실한 제조일자랑 유통기한 표시로 믿음이 갔어요. 발라봤는데 묽고 처음엔 너무 촉촉하고 그래서 이게 과연 눈도 안시릴지 밀림이 없을지 의문이였습니다. 왜냐면 대부분 묽은 제형운 눈도 시리고 흡수가 안돼서 밀리는게 기본이거든요. 내가 또 속았구나 싶어서 포기하려했는데 몇번 두드리니까 싹 흡수되고 보송한 느낌만 남는데 또 너무 건조하면 화장이 뜰 수 있겠다 싶었는데 속이 촉촉하게 잡히니까 그런 들뜸도 없더라구요. 그리고 싫어하는게 선크림 백탁에 손자국대로 결 남는건데 이런것도 없어서 기술력에 또 놀랐습니다... ㅎㅎ 일단 맘에 들어요 그리고 이 선크림을 선택하면 바다를 어떻게 살리는지 모르겠지만 제가 도움이 되는거라면 좀 더 나은 가치 소비가 아닐까 싶어서 그것도 기분이 좋네요! 더 써보고 지금만 같으면 계속 구매예정입니다~
5,"■ 시슨드시 백탁없는 밀림없는 눈시림없는 끈적임없는 성분이좋은 선크림 SPF50+ PA++++ ■ 50g,1개 ● 썬크림이 이것저것 몇가지가 있는데 요즘 눈밑으로 거뭇거뭇 기미비슷한것들이 생기면서 심해지기 시작해서 자외선차단에 신경을 쓰고 있는데~~끈적이거나 백탁등이 싫어서 있어도 잘바르지 않기도 했고 ~~ 안되것다 싶어서~선크림을 발랏는데 요즘 갑자기 눈이 시리고 눈이 피곤한거예요~요즘 새로 사서 바르는 앰플때문인가 ?하는 생각도 했는데~앰플은 안바른 상태로 썬크림만을 바르고 산책을 하는데~~ 갑자기 또 눈이시리기 시작하는거죠~~생각을 해보니 아~~!! 썬크림을 바르고 그러기 시작하네요~ 원인은 선크림이였던 거예요~~ 그래서 눈시리지않고 백탁현상없는 선크림을 찾다가 리뷰도 꼼꼼히 확인해보고~시슨드시 선크림으로 선택하게 되었네요~~ 바르고 산책을 나가보니~진짜~눈이 시리지 않네요~썬크림만 바르면 눈이 하루종일 시렸었는데~~ 바를때 백탁도없고 매끈하게 바림성도 좋아요~ 가격대비 양은 적지만~목등은 있던 제품들 바르고 얼굴은 시슨드시 썬크림을 발라야겠어요~ 재구입해서 선물도 해야겠어요~"
5,아주 좋아요 일단 백탁없는 선크림을 찾고있었어요 다른 선크림들은 얼굴이 하얘지고 둥둥떠서 안하얘지고 자연스러운걸로 찾고있었어요 일단 발라도 얼굴이 안하얘지고 얼굴빛이 자연스럽고 로션바른것처럼 자연스러워서 좋아요 남자들이 사용하기에도 좋은것같아요 하얘지지않아서 좋아요 그리고 끈적거리지않고 산뜻해요 선크림 바르고 답답한거 못참는데 이건 별로 끈적거림도없고 답답한거 없어요 얼굴에 뭐 덕지덕지 바른 그 답답한 느낌이 전혀없고 그냥 산뜻해요 얼굴도 편안하구요 남편이 기름기가 많고 여드름피부인데 남편한테도 잘 맞아서 남편이 가지고다니면서 쓰고있어요 밖에서 있을때 꼭 바르고 덧바르고 목뒤에도 바르고있는데 땀나도 자국 안남아서 좋아요 피부에 자극적이지도않고 편안해요 저는 건성인데 선크림이 적당히 촉촉한게 있어서 얼굴이 크게 당기지도 않고 좋아요 건조함도 약간 잡아주는것 같아서 좋아요 끈적임 없이 촉촉한 느낌이라 아주 잘 쓰고있어요 남편이 가지고다니는 용도가 돼서 하나 더 살려구요 집에다가 두고 써야겠어요
5,"끈적임이 없는 선크림 제품을 찾다가 시슨드시 백탁없는 밀림없는 끈적임없는 바다를 살리는 선크림 제품을 구매하게 되었습니다. 선크림의 텍스처는 가벼우며 끈적임 없이 피부에 잘 스며들어 발림성이 너무 좋아요. 피부에 바르면 빠르게 흡수되어 산뜻하게 마무리되어져서 너무 좋네요. 햇빛으로부터 피부를 보호해주는 SPF 지수가 높아서 햇빛에 노출되는 사계절 내내 안심하고 사용할 수 있어서 좋아요. 피부에 민감한 분들이 사용해도 피부 자극없이 사용할 수 있어서 좋을거 같아요. 사용해보고 가장 좋아하는 점은 선크림이 피부에 자연스럽게 녹아들어서 얼굴에 매우 자연스러운 무광택 효과를 주는 점이에요~ 사용한 이후에는 건조함이 느껴지지 않고 촉촉한 상태를 유지할 수 있어서 완전 좋아요. 시슨드시 선크림은 , 가볍고 끈적임 없는 사용감과 온가족 모두 사용할 수 있는 성분으로 안심하고 사용할 수 있어서 좋아요. 자연스러운 무광택 효과로 피부를 더욱 화사하게 가꿔 줘서 사용감이 좋아요."
5,"백탁없는, 밀림없는, 끈적임없는 바다를 살리는, 문구가 마음에 들어서 선택했어요. 습한 날씨에 끈적임까지 있으면 선크림 사용하기 꺼려지는데 정말 산뜻해요. 듬뿍 발라도 백탁없이 일반 로션 바른 것처럼 싹 흡수돼서 활동 중엔 내가 선크림 바르고 나왔나? 헷갈릴 정도로 정말 산뜻하고 바르지않은 것 같은 가벼움이 들었어요. 선크림으로 자외선차단 효과를 얻으려면 과하다싶을 정도로 발라야한다는데 시슨드시 제품으로는 얼마든지 가능해요 ㅎㅎ 바다를 오염시키지않는다는 제품 설명에 마음 놓고 듬뿍 바르고 스노클링해봤는데 바닷물에 닿아도 따갑지않고 스노클링 후에도 눈이 따갑거나 눈시림없어요. 그만큼 성분이 착한 것 같아 이번 괌 여행에서 아이용, 어른용 선크림 구분이 전천후로 잘 쓰고왔어요. 눈시림없으니 평소에 선크림 바르기 질색하던 아이도 거부감없이 잘 바르네요. 앞으로 선크림은 시슨드시 제품만 픽하면 될 듯해요 ^^"
5,썬크림은 항상 바르는데 오랜만에 맘에드는 썬크림 찾았네요! 얼굴에 백탁 현상이나 밀림 현상들 때문에 맞는 썬크림 찾는게 쉬운게 아니였는데 시슨드시 선크림은 바르고 나면 촉촉하게 흡수되면서 얼굴도 환해지는게 너무 맘에 들어요! 복합성 피부라 촉촉하지만 기름지지 않은 걸 좋아하는데 시슨드시 선크림이 딱 제가 원하는 데로 촉촉한데 기름지지 않은 쫀쫀한 느낌이 들어서 만족스러워요~! 손등 사진 오른쪽처럼 바르고 난 후 밀림 현상도 없고 로션처럼 발리니 선크림 바른 후 화장 할 때도 좋네요 그리고 너무 꾸덕한 제품은 얼굴 전체에 펴 바르기가 힘든 경우가 있는데 시슨드시 선크림은 로션 제형이라 흡수력도 빨라서 적은 양으로 넓게 바를 수 있는것도 좋네요. 앞으로는 이 제품만 써야겠습니다~!
5,"시슨드시 선크림 사용 후기 이번에 시슨드시 선크림을 처음 써봤는데, 정말 만족스러워요! 우선 제형이 진짜 부드럽게 발려서 얼굴에 밀리지 않고 백탁 현상도 전혀 없어요. 덕분에 피부 톤이 자연스럽게 유지돼서 메이크업 전에 발라도 깔끔하고요. 무엇보다 촉촉하면서도 끈적임 없이 마무리되는 사용감이 최고입니다. 여름철에도 산뜻하게 사용할 수 있어서 데일리 선크림으로 딱이에요. 성분도 순해서 피부에 자극 없이 편안하게 쓸 수 있었어요. SPF50+ PA++++로 자외선 차단도 확실하니 이제 외출할 때 걱정 없을 것 같아요. 다음에도 또 구매할 의향 100%입니다."
5,"어릴 때 아토피를 심하게 앓아 화장품 살 때 많이 조심하는 편인데요! 지금 2주 정도 사용해봤는데 몹시 만족스러워요^^ 우선 눈 시림이 전혀 없고 피부가 따끔거리지 않다는 부분이 저에겐 1등인데요, 조금만 자극적인 화장품을 써도 눈과 얼굴이 바로 붉어지는 저로선 최고의 제품이라고 말 할 수 있지요 제형은 부드러운 하얀색 로션 제형으로써 처음에 도포하고 나면 백탁이 있는게 아닐까? 염려스러운데 바르고 나면 촉촉하지만 끈적이지 않게 피부에 사악 스며들어요! 무겁지 않게 얼굴에 올라가고 수분감 가득한 느낌이라 화장도 잘 먹고 확실히 속당김도 줄어든 느낌입니다 ㅎㅎ 가격도 저렴하니 일단 한번 사서 써보세용"
5,자외선 차단제에 피부도 눈도 예민해서 신중하게 여기 저기 후기보고 구매했습니다 향은 강하진 않은데 솔잎향같은 냄새라 좀 호불호가 있을것 같구요 제가 제일 중요하게 생각하는 눈시림인 전혀 없었습니다 피부 가려움이나 따가움도 없었구요 도포하자마자는 살짝 끈적이는데 금방 스며들어 보송해집니다 워터프루프는 아닌데 흐르는 물에 손을 씻을 때 바로 씻겨나가지 않고 물방울이 피부 표면에 도로록 구르네요 세안할 때는 클렌징 밀크로 이중세안 해야할 듯요 한 가지 아쉬운 점은 생각보다 매트하다고 할까요? 건성인 분들이 겨울같이 건조한 계절에 쓰기엔 보습력이 살짝 부족한 것 같습니다 습하고 더운 계절에 쓰기에 더 좋을 것 같아요
